customer_id,customer_name,segment,city,region,country
C000001,Customer_000001,Budget,CityC_052,Pays de la Loire,France
C000002,Customer_000002,Budget,CityC_127,Nouvelle-Aquitaine,France
C000003,Customer_000003,Mainstream,CityC_147,Île-de-France,France
C000004,Customer_000004,Mainstream,CityC_142,Provence-Alpes-Côte d’Azur,France
C000005,Customer_000005,Mainstream,CityC_023,Nouvelle-Aquitaine,France
C000006,Customer_000006,Mainstream,CityC_184,Auvergne-Rhône-Alpes,France
C000007,Customer_000007,Mainstream,CityC_106,Centre-Val de Loire,France
C000008,Customer_000008,Mainstream,CityC_019,Grand Est,France
C000009,Customer_000009,Premium,CityC_165,Nouvelle-Aquitaine,France
C000010,Customer_000010,Mainstream,CityC_175,Auvergne-Rhône-Alpes,France
C000011,Customer_000011,Mainstream,CityC_200,Pays de la Loire,France
C000012,Customer_000012,Mainstream,CityC_047,Pays de la Loire,France
C000013,Customer_000013,Mainstream,CityC_015,Nouvelle-Aquitaine,France
C000014,Customer_000014,Mainstream,CityC_078,Auvergne-Rhône-Alpes,France
C000015,Customer_000015,Budget,CityC_182,Nouvelle-Aquitaine,France
C000016,Customer_000016,Mainstream,CityC_133,Occitanie,France
C000017,Customer_000017,Mainstream,CityC_065,Hauts-de-France,France
C000018,Customer_000018,Mainstream,CityC_142,Occitanie,France
C000019,Customer_000019,Budget,CityC_078,Hauts-de-France,France
C000020,Customer_000020,Mainstream,CityC_129,Normandie,France
C000021,Customer_000021,Budget,CityC_149,Bourgogne-Franche-Comté,France
C000022,Customer_000022,Budget,CityC_160,Nouvelle-Aquitaine,France
C000023,Customer_000023,Premium,CityC_087,Centre-Val de Loire,France
C000024,Customer_000024,Budget,CityC_008,Normandie,France
C000025,Customer_000025,Budget,CityC_165,Auvergne-Rhône-Alpes,France
C000026,Customer_000026,Budget,CityC_054,Normandie,France
C000027,Customer_000027,Mainstream,CityC_164,Normandie,France
C000028,Customer_000028,Mainstream,CityC_161,Île-de-France,France
C000029,Customer_000029,Budget,CityC_078,Pays de la Loire,France
C000030,Customer_000030,Budget,CityC_176,Bretagne,France
C000031,Customer_000031,Budget,CityC_019,Grand Est,France
C000032,Customer_000032,Budget,CityC_113,Centre-Val de Loire,France
C000033,Customer_000033,Mainstream,CityC_053,Grand Est,France
C000034,Customer_000034,Mainstream,CityC_081,Provence-Alpes-Côte d’Azur,France
C000035,Customer_000035,Mainstream,CityC_089,Centre-Val de Loire,France
C000036,Customer_000036,Budget,CityC_095,Grand Est,France
C000037,Customer_000037,Mainstream,CityC_082,Pays de la Loire,France
C000038,Customer_000038,Mainstream,CityC_069,Occitanie,France
C000039,Customer_000039,Budget,CityC_025,Bretagne,France
C000040,Customer_000040,Budget,CityC_099,Île-de-France,France
C000041,Customer_000041,Mainstream,CityC_041,Normandie,France
C000042,Customer_000042,Premium,CityC_185,Provence-Alpes-Côte d’Azur,France
C000043,Customer_000043,Budget,CityC_041,Provence-Alpes-Côte d’Azur,France
C000044,Customer_000044,Premium,CityC_120,Bretagne,France
C000045,Customer_000045,Premium,CityC_128,Bretagne,France
C000046,Customer_000046,Budget,CityC_101,Île-de-France,France
C000047,Customer_000047,Mainstream,CityC_062,Pays de la Loire,France
C000048,Customer_000048,Mainstream,CityC_013,Occitanie,France
C000049,Customer_000049,Budget,CityC_153,Île-de-France,France
C000050,Customer_000050,Mainstream,CityC_074,Bourgogne-Franche-Comté,France
C000051,Customer_000051,Budget,CityC_028,Pays de la Loire,France
C000052,Customer_000052,Budget,CityC_068,Grand Est,France
C000053,Customer_000053,Mainstream,CityC_104,Centre-Val de Loire,France
C000054,Customer_000054,Budget,CityC_014,Provence-Alpes-Côte d’Azur,France
C000055,Customer_000055,Mainstream,CityC_093,Normandie,France
C000056,Customer_000056,Budget,CityC_099,Pays de la Loire,France
C000057,Customer_000057,Mainstream,CityC_141,Pays de la Loire,France
C000058,Customer_000058,Mainstream,CityC_160,Hauts-de-France,France
C000059,Customer_000059,Mainstream,CityC_033,Bourgogne-Franche-Comté,France
C000060,Customer_000060,Mainstream,CityC_087,Auvergne-Rhône-Alpes,France
C000061,Customer_000061,Premium,CityC_194,Pays de la Loire,France
C000062,Customer_000062,Budget,CityC_131,Nouvelle-Aquitaine,France
C000063,Customer_000063,Mainstream,CityC_012,Grand Est,France
C000064,Customer_000064,Budget,CityC_086,Île-de-France,France
C000065,Customer_000065,Mainstream,CityC_039,Bretagne,France
C000066,Customer_000066,Premium,CityC_036,Normandie,France
C000067,Customer_000067,Premium,CityC_082,Provence-Alpes-Côte d’Azur,France
C000068,Customer_000068,Mainstream,CityC_158,Nouvelle-Aquitaine,France
C000069,Customer_000069,Mainstream,CityC_152,Centre-Val de Loire,France
C000070,Customer_000070,Mainstream,CityC_131,Provence-Alpes-Côte d’Azur,France
C000071,Customer_000071,Mainstream,CityC_145,Pays de la Loire,France
C000072,Customer_000072,Mainstream,CityC_005,Hauts-de-France,France
C000073,Customer_000073,Mainstream,CityC_029,Provence-Alpes-Côte d’Azur,France
C000074,Customer_000074,Mainstream,CityC_186,Grand Est,France
