date_id,date,year,month,month_name,quarter,week,day_of_week
20220101,2022-01-01,2022,1,Jan,1,52,6
20220102,2022-01-02,2022,1,Jan,1,52,7
20220103,2022-01-03,2022,1,Jan,1,1,1
20220104,2022-01-04,2022,1,Jan,1,1,2
20220105,2022-01-05,2022,1,Jan,1,1,3
20220106,2022-01-06,2022,1,Jan,1,1,4
20220107,2022-01-07,2022,1,Jan,1,1,5
20220108,2022-01-08,2022,1,Jan,1,1,6
20220109,2022-01-09,2022,1,Jan,1,1,7
20220110,2022-01-10,2022,1,Jan,1,2,1
20220111,2022-01-11,2022,1,Jan,1,2,2
20220112,2022-01-12,2022,1,Jan,1,2,3
20220113,2022-01-13,2022,1,Jan,1,2,4
20220114,2022-01-14,2022,1,Jan,1,2,5
20220115,2022-01-15,2022,1,Jan,1,2,6
20220116,2022-01-16,2022,1,Jan,1,2,7
20220117,2022-01-17,2022,1,Jan,1,3,1
20220118,2022-01-18,2022,1,Jan,1,3,2
20220119,2022-01-19,2022,1,Jan,1,3,3
20220120,2022-01-20,2022,1,Jan,1,3,4
20220121,2022-01-21,2022,1,Jan,1,3,5
20220122,2022-01-22,2022,1,Jan,1,3,6
20220123,2022-01-23,2022,1,Jan,1,3,7
20220124,2022-01-24,2022,1,Jan,1,4,1
20220125,2022-01-25,2022,1,Jan,1,4,2
20220126,2022-01-26,2022,1,Jan,1,4,3
20220127,2022-01-27,2022,1,Jan,1,4,4
20220128,2022-01-28,2022,1,Jan,1,4,5
20220129,2022-01-29,2022,1,Jan,1,4,6
20220130,2022-01-30,2022,1,Jan,1,4,7
20220131,2022-01-31,2022,1,Jan,1,5,1
20220201,2022-02-01,2022,2,Feb,1,5,2
20220202,2022-02-02,2022,2,Feb,1,5,3
20220203,2022-02-03,2022,2,Feb,1,5,4
20220204,2022-02-04,2022,2,Feb,1,5,5
20220205,2022-02-05,2022,2,Feb,1,5,6
20220206,2022-02-06,2022,2,Feb,1,5,7
20220207,2022-02-07,2022,2,Feb,1,6,1
20220208,2022-02-08,2022,2,Feb,1,6,2
20220209,2022-02-09,2022,2,Feb,1,6,3
20220210,2022-02-10,2022,2,Feb,1,6,4
20220211,2022-02-11,2022,2,Feb,1,6,5
20220212,2022-02-12,2022,2,Feb,1,6,6
20220213,2022-02-13,2022,2,Feb,1,6,7
20220214,2022-02-14,2022,2,Feb,1,7,1
20220215,2022-02-15,2022,2,Feb,1,7,2
20220216,2022-02-16,2022,2,Feb,1,7,3
20220217,2022-02-17,2022,2,Feb,1,7,4
20220218,2022-02-18,2022,2,Feb,1,7,5
20220219,2022-02-19,2022,2,Feb,1,7,6
20220220,2022-02-20,2022,2,Feb,1,7,7
20220221,2022-02-21,2022,2,Feb,1,8,1
20220222,2022-02-22,2022,2,Feb,1,8,2
20220223,2022-02-23,2022,2,Feb,1,8,3
20220224,2022-02-24,2022,2,Feb,1,8,4
20220225,2022-02-25,2022,2,Feb,1,8,5
20220226,2022-02-26,2022,2,Feb,1,8,6
20220227,2022-02-27,2022,2,Feb,1,8,7
20220228,2022-02-28,2022,2,Feb,1,9,1
20220301,2022-03-01,2022,3,Mar,1,9,2
20220302,2022-03-02,2022,3,Mar,1,9,3
20220303,2022-03-03,2022,3,Mar,1,9,4
20220304,2022-03-04,2022,3,Mar,1,9,5
20220305,2022-03-05,2022,3,Mar,1,9,6
20220306,2022-03-06,2022,3,Mar,1,9,7
20220307,2022-03-07,2022,3,Mar,1,10,1
20220308,2022-03-08,2022,3,Mar,1,10,2
20220309,2022-03-09,2022,3,Mar,1,10,3
20220310,2022-03-10,2022,3,Mar,1,10,4
20220311,2022-03-11,2022,3,Mar,1,10,5
20220312,2022-03-12,2022,3,Mar,1,10,6
20220313,2022-03-13,2022,3,Mar,1,10,7
20220314,2022-03-14,2022,3,Mar,1,11,1
20220315,2022-03-15,2022,3,Mar,1,11,2
20220316,2022-03-16,2022,3,Mar,1,11,3
20220317,2022-03-17,2022,3,Mar,1,11,4
20220318,2022-03-18,2022,3,Mar,1,11,5
20220319,2022-03-19,2022,3,Mar,1,11,6
20220320,2022-03-20,2022,3,Mar,1,11,7
20220321,2022-03-21,2022,3,Mar,1,12,1
20220322,2022-03-22,2022,3,Mar,1,12,2
20220323,2022-03-23,2022,3,Mar,1,12,3
20220324,2022-03-24,2022,3,Mar,1,12,4
20220325,2022-03-25,2022,3,Mar,1,12,5
20220326,2022-03-26,2022,3,Mar,1,12,6
20220327,2022-03-27,2022,3,Mar,1,12,7
20220328,2022-03-28,2022,3,Mar,1,13,1
20220329,2022-03-29,2022,3,Mar,1,13,2
20220330,2022-03-30,2022,3,Mar,1,13,3
20220331,2022-03-31,2022,3,Mar,1,13,4
20220401,2022-04-01,2022,4,Apr,2,13,5
20220402,2022-04-02,2022,4,Apr,2,13,6
20220403,2022-04-03,2022,4,Apr,2,13,7
